                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 6.2337,                 6.3597,                 4.2492,                0.01189,                0.17081,                0.01137,                0.00387,                 6.2817,                 7.8936,                 4.4188,              0.0011098,              0.0011098,              0.0011098
                     36,                  6.085,                 6.2107,                 4.2981,                0.77167,                0.03523,                0.01567,                0.00495,                 6.4054,                 6.6259,                 4.4137,              0.0011056,              0.0011056,              0.0011056
                     37,                 6.3137,                 6.3133,                 4.3555,                0.77834,                0.04027,                0.01991,                0.00638,                 6.3705,                 6.3853,                 4.4226,              0.0011015,              0.0011015,              0.0011015
                     38,                 6.0349,                 5.9753,                 4.1786,                0.77881,                0.04698,                0.01965,                0.00689,                   6.33,                 6.2545,                 4.3671,              0.0010974,              0.0010974,              0.0010974
                     39,                 5.9529,                 5.9125,                   4.15,                0.77959,                0.04362,                0.02284,                0.00805,                 6.2585,                 6.0848,                  4.336,              0.0010933,              0.0010933,              0.0010933
                     40,                 5.9287,                 6.1232,                 4.1151,                0.77791,                0.03523,                0.01932,                0.00704,                  6.236,                 6.4028,                 4.2748,              0.0010891,              0.0010891,              0.0010891
                     41,                 5.9379,                 5.9349,                 4.2008,                0.78869,                0.02852,                0.02303,                0.00837,                 6.2088,                 6.0697,                 4.2816,               0.001085,               0.001085,               0.001085
                     42,                 5.9224,                 5.9216,                 4.0354,                0.80783,                0.03188,                0.02811,                0.01044,                 6.2158,                 6.0021,                 4.2148,              0.0010809,              0.0010809,              0.0010809
                     43,                 5.9238,                   5.72,                 4.0592,                 0.7878,                0.05201,                0.03011,                0.00842,                 6.3418,                 5.7218,                  4.229,              0.0010768,              0.0010768,              0.0010768
                     44,                 5.9834,                 5.9051,                 4.2727,                0.78334,                0.05369,                0.02557,                0.00792,                 6.0646,                 6.1983,                  4.227,              0.0010726,              0.0010726,              0.0010726
                     45,                 5.8058,                 5.5926,                 4.0449,                0.78021,                0.05369,                 0.0251,                0.00843,                 6.1059,                 6.3106,                 4.2124,              0.0010685,              0.0010685,              0.0010685
                     46,                 5.8033,                 5.7469,                 3.9381,                0.77075,                 0.0604,                0.02421,                0.00825,                 6.1326,                 7.6015,                 4.2456,              0.0010644,              0.0010644,              0.0010644
                     47,                 5.7733,                 5.5942,                 3.9977,                0.77256,                 0.0453,                0.02366,                0.00775,                 6.1333,                 6.5878,                 4.1774,              0.0010603,              0.0010603,              0.0010603
                     48,                 5.7983,                 5.6564,                 3.9574,                0.27833,                0.05369,                0.02211,                 0.0085,                 6.0135,                 5.7326,                 4.1932,              0.0010561,              0.0010561,              0.0010561
                     49,                 5.5488,                 5.8037,                   3.82,                0.53997,                0.05201,                 0.0264,                0.00983,                 6.0311,                  5.708,                 4.2015,               0.001052,               0.001052,               0.001052
